Name,Weight Class,Height:,Weight:,Reach:,Age,Wins,Losses,Draws
Brad Pickett,Catch Weight,5.5,135,68,41,26,14,0
Jamie Pickett,Middleweight,6.17,185,80,31,9,3,0
Oskar Piechota,Middleweight,6.0,185,76,29,11,2,1
Mike Pierce,Welterweight,5.67,170,70,39,17,7,0
Sean Pierson,Welterweight,6.0,170,76,43,14,6,0
Domingo Pilarte,Bantamweight,6.0,135,73,29,8,2,0
Daniel Pineda,Featherweight,5.58,145,69,34,18,11,0
Liu Pingyuan,Bantamweight,5.5,135,72,26,13,6,0
Maki Pitolo,Welterweight,5.83,170,75,28,12,5,0
Jamal Pogues,Light Heavyweight,6.25,205,77,23,6,2,0
Dustin Poirier,Lightweight,5.75,155,72,30,25,6,0
Igor Pokrajac,Light Heavyweight,6.0,205,76,40,28,13,0
Santiago Ponzinibbio,Welterweight,6.0,170,73,33,28,3,0
Grigorii Popov,Bantamweight,5.58,135,68,35,13,2,0
Callan Potter,Lightweight,6.0,170,72,35,18,8,0
Ruan Potts,Heavyweight,6.17,247,75,41,8,4,0
Devin Powell,Lightweight,6.0,155,73,31,9,4,0
Marcin Prachnio,Light Heavyweight,6.25,205,74,31,13,4,0
Wagner Prado,Light Heavyweight,6.0,205,74,32,8,2,0
Trevor Prangley,Middleweight,6.08,185,75,47,23,8,1
Ricardo Prasel,Heavyweight,6.58,238,78,29,10,1,0
Carlo Prater,Lightweight,5.92,155,72,38,30,12,1
Michel Prazeres,Welterweight,5.5,170,67,38,26,3,0
Kyle Prepolec,Welterweight,5.83,170,70,30,12,7,0
Niko Price,Welterweight,6.0,170,76,30,14,3,0
Lara Procopio,Women's Bantamweight,5.33,135,67,23,6,1,0
Joe Proctor,Lightweight,5.83,155,72,34,11,5,0
Cole Province,Featherweight,5.75,145,68,38,6,2,0
Lucie Pudilova,Women's Flyweight,5.67,125,67,25,8,5,0
Claudio Puelles,Lightweight,5.92,155,72,23,10,2,0
Juan Puig,Featherweight,5.75,145,72,30,11,4,0
Jens Pulver,Lightweight,5.58,145,70,44,25,15,1
Mike Pyle,Welterweight,6.0,170,74,44,27,14,1
Nate Quarry,Middleweight,6.0,185,72,47,12,4,0
Jimmy Quinlan,Middleweight,6.0,185,72,33,3,1,1
Michel Quinones,Lightweight,5.83,155,73,34,8,3,0
Jose Quinonez,Bantamweight,5.67,135,69,29,9,3,0
Ricky Rainey,Welterweight,6.08,170,77,36,13,6,0
Aleksandar Rakic,Light Heavyweight,6.33,205,78,27,12,1,0
Jessica Rakoczy,Women's Strawweight,5.58,115,68,42,2,5,0
